date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-07-19,https://www.youtube.com/watch?v=NXWJ-57Pb1s,514266,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,123967201/76312905/70306695/33405557/37021194/39894610/17946537/22616800/22164768/11654217/15448732/12592480/6307363/8766327/6248768/3889995/5649214/3904196,3599800/2513360/2239688/1029048/1436581/1275392/576848/760610/678256/387576/410632/340030/214517/226709/168005/100489/100990/86190,140/140/249/249/250/250/251/251,8324538/8324538/3123060/3138512/3880672/3907077/7221439/7268128,130872/130870/56216/56896/72768/73511/138068/137968
2024-07-19,https://www.youtube.com/watch?v=FMn6ON2h0yE,1050233,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,227926971/132202674/136220466/62245478/68970158/78021093/33904796/42761513/43453859/22225407/29467686/24555710/12378569/17181034/12560987/7723600/11571184/7926784,3747894/2536221/2375850/1039954/1443403/1245586/577629/749445/675706/390632/410138/333259/216480/224514/167402/105998/97549/84322,140/140/249/249/250/250/251/251,16998538/16998538/6089195/6155728/7454257/7543323/13718644/13828943,131307/131319/56310/56410/74147/73690/143104/142281
2024-07-19,https://www.youtube.com/watch?v=Dp-gd4zoBZg,775232,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,93553456/87677234/69043534/27557639/52208959/40368048/16969768/29343488/21849168/10533460/19107896/14109873/5655937/8717253/7191414/2776204/6149376/4106318,3348294/2927938/2165583/1010414/1860339/1325658/679858/966953/751475/461831/519115/445892/244864/243982/205692/110891/109919/91734,140/140/249/249/250/250/251/251,12548016/12548016/4728989/4790802/5872775/6116629/10576579/10993377,131115/131055/51492/52237/68271/69399/132044/134064
2024-07-19,https://www.youtube.com/watch?v=VzGduzGJHiQ,271199,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,44030154/23368347/25267913/13016323/13013505/14711942/7220145/8285606/8455324/4816337/6014243/5149157/2814759/3689206/2828115/1779513/2722718/1906551,2330308/1508514/1434779/734170/769134/871552/406517/482577/515504/265658/330899/286952/156698/203078/136032/100069/97044/85728,140/140/249/249/250/250/251/251,4390819/4390819/1614879/1630545/1949324/1982386/3578195/3624624,130458/130465/54416/58424/70999/74952/137313/138984
2024-07-19,https://www.youtube.com/watch?v=lXwWElLgmzU,792082,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,230036761/108794494/124176001/74512641/58966107/37619629/26971678/22961791/13320994/12111507/6027032/5994050,4511054/2056322/2152610/1255276/1110242/652010/574861/379422/254092/228544/118427/110493,140/140/249/249/250/250/251/251,12820499/12820499/4888832/4905133/6132167/6150015/11054674/11085780,130829/130829/50960/51305/65999/66373/130885/130897
2024-07-19,https://www.youtube.com/watch?v=IDTh1LwsF3M,593466,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,110261494/65784307/61959687/30366020/33364408/35064207/16643793/20849615/19922391/10843456/14501702/11500653/6142709/8490416/6129110/3813959/6079760/4288874,3586336/2532420/2389502/1033698/1421976/1251423/575477/750939/683273/387932/411763/311126/213201/226769/165845/100475/97163/81717,140/140/249/249/250/250/251/251,9606363/9606363/3597415/3647660/4416987/4438123/8616447/8645332,130645/130637/54575/56280/71831/73584/137984/138661
2024-07-19,https://www.youtube.com/watch?v=2JV957UzN6Y,464797,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,113963470/53561906/59509956/39550002/29918518/18700779/15743644/11239714/8259181/6585102/3869866/3256472,4447883/2002953/2210013/1266523/1134158/673547/617670/366906/274934/229639/124183/116616,140/140/249/249/250/250/251/251,7524102/7524102/2862492/2873368/3655678/3667778/6645351/6665601,130512/130512/52805/53108/69209/69209/135060/135052
2024-07-19,https://www.youtube.com/watch?v=rrD_SJf0eIo,1379799,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,221970483/155352344/138615453/70203883/91820782/88030801/43439576/54799118/50529207/27761523/38425804/33490486/15418526/18989743/17375822/7861748/11537428/10272031,4302720/2905189/3173928/1256126/1869296/1779520/921941/974243/903565/609181/529690/446622/245494/242645/207048/111485/121232/92114,140/140/249/249/250/250/251/251,22332487/22332487/8655773/8702742/10165173/10264361/18617033/18712557,131560/131566/60050/59392/75424/75274/138686/138364
2024-07-19,https://www.youtube.com/watch?v=w9E04EfdDAQ,722755,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,85970688/84847940/68074916/24119104/49470511/39549491/14899749/26801810/21124668/9391857/17533550/13537625/5112148/7669454/6902597/2514551/4990931/3965824,3596395/2909878/2430747/1031317/1866013/1512558/721891/974189/870624/489963/529444/441615/245454/242682/206790/111449/108903/91480,140/140/249/249/250/250/251/251,11698762/11698762/4445453/4463676/5480316/5707582/9929619/10295202,130923/130921/51131/51488/65765/66805/131918/131979
2024-07-19,https://www.youtube.com/watch?v=zQoN-0xPlR4,612399,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,132493444/75478712/73848268/36463855/38754077/42100727/19771535/24012879/23689239/12964031/16501587/13629849/7231370/9535526/7139715/4569439/6577262/4695914,3604966/2520756/2268032/1039256/1409226/1257849/574385/750426/678108/386044/411060/328720/213618/224808/173245/111032/97003/85810,140/140/249/249/250/250/251/251,9912643/9912643/3686402/3734594/4518641/4570111/8410227/8466776,130928/130923/56207/56972/67060/68150/128632/129360
2024-07-19,https://www.youtube.com/watch?v=OrQI3adxguo,779612,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,93119253/79650216/61895033/24844979/32473633/33923191/12983429/19865546/18742215/8545764/13648548/10841351/4854243/7499261/5864329/3054396/6572407/4310689,3604845/2532424/2380233/1041366/1422031/1255962/578149/751752/681044/388496/411535/310857/215992/226541/167523/99407/96784/81755,140/140/249/249/250/250/251/251,12619105/12619105/4795371/4815725/5872255/6096692/10617005/10983867,130945/130924/50942/51326/64685/66790/129809/129881
2024-07-19,https://www.youtube.com/watch?v=02PJ_EaCCes,599299,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,146054262/82866686/76942097/40004985/41102472/43963903/21629625/25675485/24727654/13654882/17479021/14074588/7415263/10033034/7186069/4479034/6821288/4404466,4404469/2533233/2459413/1266189/1419758/1308973/683120/757406/680216/422176/410249/369141/215039/227690/166807/100943/101981/88960,140/140/249/249/250/250/251/251,9700734/9700734/3595569/3606203/4522021/4543340/8551909/8579280,132186/132186/59734/59237/73685/75418/138590/140464
2024-07-19,https://www.youtube.com/watch?v=riHefyTb5GI,704737,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,85542284/80412765/56017948/22702863/29331241/30793048/11836860/17805788/16835130/7803487/12315544/9750773/4393840/6776904/5280706/2765682/6277340/3863379,3632546/2536255/2387314/1045605/1431214/1254553/578890/748584/636049/390585/409257/310231/215730/224623/168873/100141/96342/81134,140/140/249/249/250/250/251/251,11407127/11407127/4326394/4345534/5301563/5521773/9610411/9965597,130743/130743/52712/53021/69356/69399/134555/134605
2024-07-19,https://www.youtube.com/watch?v=uBGzRHrwXkI,671566,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,102673736/63374033/58248415/28862744/30281418/33221849/15847495/19285676/19247718/10573526/13668217/11431651/6014096/8081228/6385570/3818679/6553858/4494510,3601538/2523264/2277574/1035555/1412738/1251698/573508/750463/674287/386170/410744/311796/213814/228122/167264/99352/97813/81040,140/140/249/249/250/250/251/251,10870162/10870162/3883567/3923866/4917690/4968958/9224649/9294296,130962/130939/57360/57349/73661/74640/139524/140005
2024-07-19,https://www.youtube.com/watch?v=2d7TBuykZFA,837570,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,97795016/96569232/76020520/27998152/56421157/45080663/17485909/30775382/24552706/10967199/20377747/15923617/6014152/8878497/8160302/3038069/5837280/4715367,3549052/2854575/2433568/1018592/1835609/1463063/703299/970520/842285/475751/502114/441876/245219/235054/206867/111315/103611/91735,140/140/249/249/250/250/251/251,13556981/13556981/5139882/5161929/6271593/6536996/11335394/11765631,131018/131026/51924/52347/66727/67538/129178/129243
