date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-08-12,https://www.youtube.com/watch?v=jkHYYjUDl_M,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=wtjG4W9Ayw8,973899,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,103170332/90784956/68900837/29905698/34926728/40463227/17350961/22093909/23917034/12288628/16249317/15085736/6992474/9657347/8597446/4517000/9267310/6347183,2507644/1356653/1450942/767606/717350/853880/429324/466795/496865/295043/330091/304372/165507/201833/126316/99075/95963/80596,140/140/249/249/250/250/251/251,15763393/15763393/6121287/6121012/7176145/7175689/13666801/13666813,131338/131338/53399/53220/67699/67502/131156/131192
2024-08-12,https://www.youtube.com/watch?v=VjKamuEvlAo,727766,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,86480649/71937592/53228472/25170920/29760787/32987718/14595703/19029967/19731437/10195947/13832422/12353329/5714906/8145406/6821181/3686311/6729022/4793355,3374420/2509325/2081712/777914/1356528/1185736/439650/766621/639320/306962/409382/315565/163429/223350/131204/98122/95485/81053,140/140/249/249/250/250/251/251,11779874/11779874/4583765/4583447/5403480/5403617/10313085/10313152,130945/130946/52419/52398/70476/70499/134231/134261
2024-08-12,https://www.youtube.com/watch?v=SLH-reyGOtI,765533,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,98136861/75657162/63769265/28704182/33671984/37675238/16433684/21357829/22177626/11320821/15164668/13592907/6234713/8725339/7438175/3844374/7309392/5095077,4324274/2491418/2824325/1915968/1398445/1246458/1102258/758117/720650/593336/409616/400320/274221/222425/212010/124778/97701/96501,140/140/249/249/250/250/251/251,12390932/12390932/4804118/4803640/5803258/5804150/11071606/11072995,130946/130942/51527/51516/67631/67612/130826/130788
2024-08-12,https://www.youtube.com/watch?v=cgP6UhIJets,734133,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,83834969/68161665/51325102/23370428/27277301/30724530/13488312/17514610/18368822/9469618/12778057/11606688/5376090/7546838/6548005/3508043/6921317/4853785,4533360/2574598/1863141/1123621/1340213/1100073/599096/746897/620251/386302/406868/310080/209475/223825/149366/102263/96546/82466,140/140/249/249/250/250/251/251,11883258/11883258/4620592/4619802/5238061/5237908/9771579/9771313,131208/131209/60042/60427/77361/77812/148142/148580
2024-08-12,https://www.youtube.com/watch?v=7leY-WDnkRI,682566,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,67521155/48865205/42668980/19559646/23229981/25441230/11427398/15082519/15277503/8205134/11125257/9754115/4883494/6712792/5694839/3242494/6235077/4108093,1845319/1375986/1265604/629078/759675/762949/354021/485082/442473/240670/327463/194528/133963/193031/119750/83791/94993/73344,140/140/249/249/250/250/251/251,11048565/11048625/4385688/4388873/5361553/5372578/10457947/10469299,131050/131091/58960/59424/79585/80285/153743/154416
2024-08-12,https://www.youtube.com/watch?v=Jhbr2EGN6vs,656033,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,73357155/55600214/45667251/19821839/23890556/26576746/11180450/15255019/15628746/7828028/11058562/9692154/4378138/6403889/5170382/2833828/5837974/3887153,2540225/2469761/1641374/701676/978570/888095/381568/584931/505498/265898/402554/320666/149373/220876/130733/95836/97089/74478,140/140/249/249/250/250/251/251,10619302/10619303/4088989/4091767/4813454/4814491/9410298/9411775,130826/130829/53009/53472/66995/67662/129786/130672
2024-08-12,https://www.youtube.com/watch?v=8dl352r0KwM,651899,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,78874290/54315875/39220340/20280708/23000806/25133050/11331603/15042001/14229199/7852739/10634860/9151805/4485176/6214787/5215671/2871153/5932045/3957760,3965326/2274090/2104730/1232418/1163892/1180139/675891/754340/674681/439019/409414/364304/229401/224190/208510/107160/98041/92105,140/140/249/249/250/250/251/251,10551865/10551865/4064584/4058770/4722980/4727847/8797917/8811102,130782/130794/53158/52537/69684/68889/137412/135814
2024-08-12,https://www.youtube.com/watch?v=IrVVGDs1pS0,671166,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,88641784/75689315/59959709/28118027/45695039/38858620/17599427/26215065/22192183/11573399/18789368/15050889/6291895/8624677/7860276/3184347/5619181/4685553,3265813/2440429/2030040/1066624/1464594/1270105/554368/893082/663563/375197/531493/441258/202610/240394/207072/99101/109933/92005,140/140/249/249/250/250/251/251,10863880/10864112/4197757/4212471/5033203/5041580/9707015/9723911,131016/131035/51008/51016/65944/66963/132663/133993
2024-08-12,https://www.youtube.com/watch?v=_qa86jdQJzM,640633,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,70051811/49874091/34746740/17424040/20473582/23620141/9828840/13508679/13124682/6976148/9901334/8519545/4033802/5789712/4900518/2653589/5996592/3742780,3216100/1923725/1841418/1042010/1121946/1137824/593234/691912/661309/401466/402378/328416/226978/224797/147688/106840/96802/92525,140/140/249/249/250/250/251/251,10369622/10369622/4010020/4010725/4451521/4451961/8246044/8246695,130869/130869/50627/50634/62490/62488/121214/121213
